bottlecode,daterun,instrument,analyte,resulttype,runlabel,result,unit,labdupTF,labuser,recorduser,flag
0101-10,7/30/21,beckmanspec,abs800,sample,abs44407,0.00247,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs200,sample,abs44407,0.73687,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs202,sample,abs44407,0.56294,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs204,sample,abs44407,0.48615,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs206,sample,abs44407,0.44103,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs208,sample,abs44407,0.40935,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs210,sample,abs44407,0.38275,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs220,sample,abs44407,0.2935,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs230,sample,abs44407,0.24236,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs240,sample,abs44407,0.20905,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs250,sample,abs44407,0.18552,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs254,sample,abs44407,0.17825,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs260,sample,abs44407,0.16844,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs270,sample,abs44407,0.15027,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs280,sample,abs44407,0.12953,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs290,sample,abs44407,0.10923,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs275,sample,abs44407,0.13977,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs285,sample,abs44407,0.11882,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs295,sample,abs44407,0.09944,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs300,sample,abs44407,0.09111,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs310,sample,abs44407,0.07788,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs320,sample,abs44407,0.06777,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs330,sample,abs44407,0.05719,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs340,sample,abs44407,0.05011,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs350,sample,abs44407,0.04437,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs360,sample,abs44407,0.03704,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs370,sample,abs44407,0.03315,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs380,sample,abs44407,0.03022,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs390,sample,abs44407,0.02623,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs400,sample,abs44407,0.02361,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs410,sample,abs44407,0.02151,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs412,sample,abs44407,0.02127,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs420,sample,abs44407,0.02005,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs430,sample,abs44407,0.01836,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs440,sample,abs44407,0.01694,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs450,sample,abs44407,0.01572,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs460,sample,abs44407,0.01472,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs470,sample,abs44407,0.01438,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs480,sample,abs44407,0.01347,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs490,sample,abs44407,0.0128,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs500,sample,abs44407,0.01226,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs510,sample,abs44407,0.01181,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs520,sample,abs44407,0.01134,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs530,sample,abs44407,0.01102,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs532,sample,abs44407,0.01094,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs540,sample,abs44407,0.01066,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs550,sample,abs44407,0.01036,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs555,sample,abs44407,0.01015,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs560,sample,abs44407,0.01003,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs570,sample,abs44407,0.00978,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs580,sample,abs44407,0.00957,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs590,sample,abs44407,0.00934,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs600,sample,abs44407,0.00906,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs620,sample,abs44407,0.00865,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs640,sample,abs44407,0.00816,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs660,sample,abs44407,0.0078,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs680,sample,abs44407,0.00733,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs700,sample,abs44407,0.00689,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs720,sample,abs44407,0.00635,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs740,sample,abs44407,0.00573,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs760,sample,abs44407,0.00557,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs780,sample,abs44407,0.00531,absunits,FALSE,SP,SP,
0102-10,7/30/21,beckmanspec,abs800,sample,abs44407,0.00493,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs200,sample,abs44407,0.77107,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs202,sample,abs44407,0.5927,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs204,sample,abs44407,0.51693,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs206,sample,abs44407,0.47111,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs208,sample,abs44407,0.43643,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs210,sample,abs44407,0.40846,absunits,FALSE,SP,SP,
